DSA id,Family,Analysis,Scenario,Target fraction,BP endpoint year,Statin endpoint year,Statin endpoint coverage,Statin adherence IR,Statin adherence CF,run_bgmx_trend,run_CF_trend,run_CF_trend_80,run_CF_trend_ihme,CVD trend input,Illustrative,In one-way tornado,Assumption,Source
reference,Reference,reference,Reference: active 06 base case,1,2030,2030,0.5,0.575,0.664,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,FALSE,Active 06 country call: BP 150M target reached 2030; statins 50% by 2030; statin adherence IR 0.575 / CF 0.664; sodium inert (salteff = 0); TFA eliminated from 2028; CVD CF trend at 80% of the input series.,06_run_scenarios_multiple.R %dopar% call; 00_run_model.R switches; Basios et al. 2025 (adherence)
target_50,Target achievement,one_way,Partial achievement: 50% of the increment by 2030,0.5,2030,2030,0.5,0.575,0.664,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,"BP: target_control = baseline + 0.50 x (target - baseline) per scenario/location/sex/subgroup; statins: baseline + 0.50 x (0.5 - baseline). Baseline, subgroup shares and allocation unchanged.",Scenario value (Briggs et al. 2012); fixed 2025 population basis of 04
target_75,Target achievement,one_way,Partial achievement: 75% of the increment by 2030,0.75,2030,2030,0.5,0.575,0.664,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,As target_50 with fraction 0.75.,Scenario value (Briggs et al. 2012); fixed 2025 population basis of 04
delay_2035,Implementation timing,one_way,Delayed implementation: full endpoint in 2035,1,2035,2035,0.5,0.575,0.664,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,"Baseline 2025, scale-up from 2026, the ORIGINAL full BP and statin endpoints reached in 2035 and held to 2050.",Scenario value (Briggs et al. 2012)
delay_2040,Implementation timing,one_way,Delayed implementation: full endpoint in 2040,1,2040,2040,0.5,0.575,0.664,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,As delay_2035 with endpoint 2040.,Scenario value (Briggs et al. 2012)
adherence_low,Statin adherence,one_way,Statin adherence low (IR 0.50 / CF 0.65),1,2030,2030,0.5,0.500,0.650,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,"Assumed effective statin persistence/adherence over the horizon: IR 0.50 (primary prevention), CF 0.65 (secondary prevention). BP effects unchanged.",Scenario value; below the base case of Basios et al. 2025
adherence_moderate,Statin adherence,one_way,Statin adherence moderate (IR 0.70 / CF 0.80),1,2030,2030,0.5,0.700,0.800,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,TRUE,"Assumed effective statin persistence/adherence: IR 0.70, CF 0.80. BP effects unchanged.",Scenario value; above the base case of Basios et al. 2025
adherence_income,Statin adherence by income group,one_way,Statin adherence by World Bank income group (illustrative),1,2030,2030,0.5,income map,income map,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),TRUE,TRUE,"Country adherence from its World Bank income group: L 0.50/0.65; LM 0.60/0.70; UM 0.70/0.80; H 0.80/0.90 (IR/CF). Income group, not WHO region.",ILLUSTRATIVE assumption; no sourced income-specific estimate in the repository
adherence_perfect,Extra reference (not base case),extra_reference,"Perfect statin adherence (IR 1.00 / CF 1.00): extra reference, not the base case",1,2030,2030,0.5,1.000,1.000,TRUE,TRUE,TRUE,FALSE,tps_bgmx_cvd_forecasted.rds (x 0.8 percent_diff),FALSE,FALSE,Statin adherence 1.00/1.00 (the calculate_statins_impact() default). Shown for context only; never the DSA anchor.,Function default in 06; not the active call
trend_full_cvd,CVD mortality trend,one_way,CVD case-fatality trend at 100% of the input series,1,2030,2030,0.5,0.575,0.664,TRUE,TRUE,FALSE,FALSE,tps_bgmx_cvd_forecasted.rds (x 1.0 percent_diff),FALSE,TRUE,"run_CF_trend_80 = FALSE: CF multiplied by (1 + percent_diff) instead of (1 + 0.8 percent_diff). Same pre-supplied series, not a new Lee-Carter fit.","tps_bgmx_cvd_forecasted.rds (023_get_tps_bgmx.R, Lee-Carter with damped-trend ETS)"
trend_no_cvd,CVD mortality trend,one_way,No CVD case-fatality trend (background trend retained),1,2030,2030,0.5,0.575,0.664,TRUE,FALSE,irrelevant,FALSE,none (CF keeps its pre-trend post-2019 values),FALSE,TRUE,run_CF_trend = FALSE: no secular trend applied to CF; BG.mx and BG.mx.all keep the reference background trend.,05_build_baseline.R switches
trend_ihme_cvd,CVD mortality trend,one_way,IHME GBD Foresight CVD trend,1,2030,2030,0.5,0.575,0.664,TRUE,TRUE,irrelevant,TRUE,tps_bgmx_cvd_ihme.rds (x 1.0 percent_diff; 80% switch not used),FALSE,TRUE,run_CF_trend_ihme = TRUE: CF multiplied by (1 + cause-year percent_diff) from the IHME Foresight reference-scenario global age-standardised death rates; the 80% switch is not used in this branch.,tps_bgmx_cvd_ihme.rds (023_get_tps_bgmx.R from gbd2023_foresight_asr_*20+.csv)
